Date,Portfolio_Value
2024-06-01,10000.0
2024-06-02,10000.0
2024-06-03,10000.0
2024-06-04,10000.0
2024-06-05,10000.0
2024-06-06,10000.0
2024-06-07,10000.0
2024-06-08,10000.0
2024-06-09,10000.0
2024-06-10,10000.0
2024-06-11,10000.0
2024-06-12,10000.0
2024-06-13,10000.0
2024-06-14,10000.0
2024-06-15,10000.0
2024-06-16,10000.0
2024-06-17,10000.0
2024-06-18,10000.0
2024-06-19,10000.0
2024-06-20,10000.0
2024-06-21,10000.0
2024-06-22,10000.0
2024-06-23,10000.0
2024-06-24,10000.0
2024-06-25,10000.0
2024-06-26,10000.0
2024-06-27,10000.0
2024-06-28,10000.0
2024-06-29,10000.0
2024-06-30,10000.0
2024-07-01,10000.0
2024-07-02,10000.0
2024-07-03,10000.0
2024-07-04,10000.0
2024-07-05,10000.0
2024-07-06,10000.0
2024-07-07,10000.0
2024-07-08,10000.0
2024-07-09,10000.0
2024-07-10,10000.0
2024-07-11,10000.0
2024-07-12,10000.0
2024-07-13,10000.0
2024-07-14,10000.0
2024-07-15,10000.0
2024-07-16,10000.0
2024-07-17,10000.0
2024-07-18,10000.0
2024-07-19,10000.0
2024-07-20,10000.0
2024-07-21,10000.0
2024-07-22,10000.0
2024-07-23,10000.0
2024-07-24,10000.0
2024-07-25,10000.0
2024-07-26,10000.0
2024-07-27,10000.0
2024-07-28,10000.0
2024-07-29,10000.0
2024-07-30,10000.0
2024-07-31,10000.0
2024-08-01,9988.218002319336
2024-08-02,9926.849807739258
2024-08-03,9869.303963243961
2024-08-04,9632.431423425674
2024-08-05,9281.631508529186
2024-08-06,9540.138249576092
2024-08-07,9642.333375275135
2024-08-08,10043.325035870075
2024-08-09,10043.325035870075
2024-08-10,10043.325035870075
2024-08-11,10043.325035870075
2024-08-12,10043.325035870075
2024-08-13,10043.325035870075
2024-08-14,10043.325035870075
2024-08-15,10043.325035870075
2024-08-16,10043.325035870075
2024-08-17,10043.325035870075
2024-08-18,10043.325035870075
2024-08-19,10075.135203182697
2024-08-20,10092.239963829517
2024-08-21,10138.932177364826
2024-08-22,10147.121547043324
2024-08-23,10217.430142223835
2024-08-24,10217.430142223835
2024-08-25,10217.430142223835
2024-08-26,10217.430142223835
2024-08-27,10217.430142223835
2024-08-28,10217.430142223835
2024-08-29,10217.430142223835
2024-08-30,10217.430142223835
2024-08-31,10217.430142223835
2024-09-01,10217.430142223835
2024-09-02,10286.860089123249
2024-09-03,10205.187489330769
2024-09-04,10271.47710877657
2024-09-05,10224.4525116086
2024-09-06,10176.72488862276
2024-09-07,10206.7712906003
2024-09-08,10254.363638877869
2024-09-09,10334.253436982632
2024-09-10,10331.984784722328
2024-09-11,10284.427112698555
2024-09-12,10331.997125208378
2024-09-13,10378.312690734863
2024-09-14,10343.145626187325
2024-09-15,10298.224034249783
2024-09-16,10274.719684243202
2024-09-17,10289.256799936295
2024-09-18,10334.72267204523
2024-09-19,10476.98652625084
2024-09-20,10483.677065253258
2024-09-21,10514.223965466022
2024-09-22,10514.223965466022
2024-09-23,10514.223965466022
2024-09-24,10514.223965466022
2024-09-25,10514.223965466022
2024-09-26,10514.223965466022
2024-09-27,10514.223965466022
2024-09-28,10514.223965466022
2024-09-29,10514.223965466022
2024-09-30,10514.223965466022
2024-10-01,10514.223965466022
2024-10-02,10514.223965466022
2024-10-03,10514.223965466022
2024-10-04,10514.223965466022
2024-10-05,10514.223965466022
2024-10-06,10514.223965466022
2024-10-07,10514.223965466022
2024-10-08,10514.223965466022
2024-10-09,10514.223965466022
2024-10-10,10514.223965466022
2024-10-11,10514.223965466022
2024-10-12,10514.223965466022
2024-10-13,10514.223965466022
2024-10-14,10514.223965466022
2024-10-15,10514.223965466022
2024-10-16,10514.223965466022
2024-10-17,10514.223965466022
2024-10-18,10514.223965466022
2024-10-19,10514.223965466022
2024-10-20,10514.223965466022
2024-10-21,10514.223965466022
2024-10-22,10514.223965466022
2024-10-23,10514.223965466022
2024-10-24,10514.223965466022
2024-10-25,10514.223965466022
2024-10-26,10584.047086775303
2024-10-27,10603.22023254633
2024-10-28,10587.794247597456
2024-10-29,10659.764846533537
2024-10-30,10634.996143192053
2024-10-31,10532.920503646135
2024-11-01,10531.644727379084
2024-11-02,10500.026048004627
2024-11-03,10415.80165886879
2024-11-04,10416.728496670723
2024-11-05,10581.36180061102
2024-11-06,10983.230117201805
2024-11-07,11021.89249408245
2024-11-08,11021.89249408245
2024-11-09,11021.89249408245
2024-11-10,11021.89249408245
2024-11-11,11087.689560770988
2024-11-12,11087.689560770988
2024-11-13,11087.689560770988
2024-11-14,11087.689560770988
2024-11-15,11343.839246034622
2024-11-16,11343.839246034622
2024-11-17,11343.839246034622
2024-11-18,11343.839246034622
2024-11-19,11343.839246034622
2024-11-20,11343.839246034622
2024-11-21,11343.839246034622
2024-11-22,11343.839246034622
2024-11-23,11343.839246034622
2024-11-24,11343.839246034622
2024-11-25,11343.839246034622
2024-11-26,11343.839246034622
2024-11-27,11343.839246034622
2024-11-28,11343.839246034622
2024-11-29,11343.839246034622
2024-11-30,11343.839246034622
2024-12-01,11343.839246034622
2024-12-02,11343.839246034622
2024-12-03,11343.839246034622
2024-12-04,11343.839246034622
2024-12-05,11343.839246034622
2024-12-06,11343.839246034622
2024-12-07,11343.839246034622
2024-12-08,11343.839246034622
2024-12-09,11343.839246034622
2024-12-10,11343.839246034622
2024-12-11,11343.839246034622
2024-12-12,11343.839246034622
