Date,Portfolio_Value
2023-01-01,10000.0
2023-01-02,10000.0
2023-01-03,10000.0
2023-01-04,10000.0
2023-01-05,10000.0
2023-01-06,10000.0
2023-01-07,10000.0
2023-01-08,10000.0
2023-01-09,10000.0
2023-01-10,10000.0
2023-01-11,10000.0
2023-01-12,10000.0
2023-01-13,10000.0
2023-01-14,10000.0
2023-01-15,10000.0
2023-01-16,10000.0
2023-01-17,10000.0
2023-01-18,10000.0
2023-01-19,10000.0
2023-01-20,10000.0
2023-01-21,10000.0
2023-01-22,10000.0
2023-01-23,10000.0
2023-01-24,10000.0
2023-01-25,10000.0
2023-01-26,10000.0
2023-01-27,10000.0
2023-01-28,10000.0
2023-01-29,10000.0
2023-01-30,10000.0
2023-01-31,10000.0
2023-02-01,10000.0
2023-02-02,10000.0
2023-02-03,10000.0
2023-02-04,10000.0
2023-02-05,10000.0
2023-02-06,10000.0
2023-02-07,10000.0
2023-02-08,10000.0
2023-02-09,10000.0
2023-02-10,10000.0
2023-02-11,10000.0
2023-02-12,10000.0
2023-02-13,10000.0
2023-02-14,10000.0
2023-02-15,10000.0
2023-02-16,10000.0
2023-02-17,10000.0
2023-02-18,10000.0
2023-02-19,10000.0
2023-02-20,10000.0
2023-02-21,10000.0
2023-02-22,10000.0
2023-02-23,10000.0
2023-02-24,10000.0
2023-02-25,10000.0
2023-02-26,10000.0
2023-02-27,10000.0
2023-02-28,10000.0
2023-03-01,10000.0
2023-03-02,10000.0
2023-03-03,10000.0
2023-03-04,10000.0
2023-03-05,10000.0
2023-03-06,10000.0
2023-03-07,10000.0
2023-03-08,10000.0
2023-03-09,9909.843221664429
2023-03-10,9992.362727165222
2023-03-11,9989.698266029358
2023-03-12,10267.811524391174
2023-03-13,10383.342187404633
2023-03-14,10383.342187404633
2023-03-15,10383.342187404633
2023-03-16,10383.342187404633
2023-03-17,10383.342187404633
2023-03-18,10383.342187404633
2023-03-19,10383.342187404633
2023-03-20,10383.342187404633
2023-03-21,10383.342187404633
2023-03-22,10383.342187404633
2023-03-23,10383.342187404633
2023-03-24,10383.342187404633
2023-03-25,10383.342187404633
2023-03-26,10383.342187404633
2023-03-27,10383.342187404633
2023-03-28,10383.342187404633
2023-03-29,10383.342187404633
2023-03-30,10383.342187404633
2023-03-31,10383.342187404633
2023-04-01,10383.342187404633
2023-04-02,10383.342187404633
2023-04-03,10383.342187404633
2023-04-04,10383.342187404633
2023-04-05,10383.342187404633
2023-04-06,10383.342187404633
2023-04-07,10383.342187404633
2023-04-08,10383.342187404633
2023-04-09,10383.342187404633
2023-04-10,10383.342187404633
2023-04-11,10383.342187404633
2023-04-12,10448.09623670578
2023-04-13,10448.09623670578
2023-04-14,10448.09623670578
2023-04-15,10448.09623670578
2023-04-16,10448.09623670578
2023-04-17,10448.09623670578
2023-04-18,10448.09623670578
2023-04-19,10448.09623670578
2023-04-20,10448.09623670578
