Date,Portfolio_Value
2023-01-03,10000.0
2023-01-04,10136.06531906128
2023-01-05,10078.192806243896
2023-01-06,10227.728856086731
2023-01-09,10320.292771339417
2023-01-10,10366.032286643982
2023-01-11,10458.8743019104
2023-01-12,10473.141725540161
2023-01-13,10567.77398967743
2023-01-17,10626.957179069519
2023-01-18,10587.440623283386
2023-01-19,10557.741936683655
2023-01-20,10771.363914012909
2023-01-23,10887.606074810028
2023-01-24,10885.370433330536
2023-01-25,10889.352015972137
2023-01-26,11029.776561260223
2023-01-27,11128.09874677658
2023-01-30,11043.148139476776
2023-01-31,11109.423907756805
2023-02-01,11251.257518291473
2023-02-02,11494.438331127167
2023-02-03,11494.751115322113
2023-02-06,11504.058427333832
2023-02-07,11560.640170574188
2023-02-08,11571.643756389618
2023-02-09,11562.514392375946
2023-02-10,11575.868102550507
2023-02-13,11603.16727399826
2023-02-14,11659.397264003754
2023-02-15,11659.397264003754
2023-02-16,11659.397264003754
2023-02-17,11659.397264003754
2023-02-21,11633.034265041351
2023-02-22,11636.397054195404
2023-02-23,11735.243535518646
2023-02-24,11735.243535518646
2023-02-27,11745.79397726059
2023-02-28,11789.286775112152
2023-03-01,11768.094941616058
2023-03-02,11827.50409078598
2023-03-03,11973.639432430267
2023-03-06,11987.46587896347
2023-03-07,11987.46587896347
2023-03-08,11995.37392950058
2023-03-09,11991.75999212265
2023-03-10,11926.417230129242
2023-03-13,11997.447263240814
2023-03-14,12192.0040640831
2023-03-15,12232.576753139496
2023-03-16,12343.465451717377
2023-03-17,12349.46744298935
2023-03-20,12364.20763540268
2023-03-21,12474.726783752441
2023-03-22,12464.201759338379
2023-03-23,12538.758597373962
2023-03-24,12549.436718940735
2023-03-27,12586.03669834137
2023-03-28,12507.350972175598
2023-03-29,12635.057286262512
2023-03-30,12682.78387928009
2023-03-31,12887.92620563507
2023-04-03,12914.43012714386
2023-04-04,12991.34889125824
2023-04-05,12989.859190940857
2023-04-06,13013.396849632263
2023-04-10,13013.396849632263
2023-04-11,13013.396849632263
2023-04-12,13013.396849632263
2023-04-13,13057.881876945496
2023-04-14,13070.183188438416
2023-04-17,13081.747878074646
2023-04-18,13106.99841594696
2023-04-19,13117.022585868835
2023-04-20,13117.022585868835
2023-04-21,13147.62813091278
2023-04-24,13127.889239311218
2023-04-25,13026.475995063782
2023-04-26,13102.810589790344
2023-04-27,13331.569907188416
2023-04-28,13357.536980628967
2023-05-01,13408.164330482483
2023-05-02,13376.065033435822
2023-05-03,13443.426275730133
2023-05-04,13463.98571062088
2023-05-05,13563.25743150711
2023-05-08,13611.59678697586
2023-05-09,13641.71988248825
2023-05-10,13773.06876707077
2023-05-11,13818.994623184204
2023-05-12,13730.463027954102
2023-05-15,13867.101058006287
2023-05-16,13966.70209980011
2023-05-17,14132.426060676575
2023-05-18,14199.054153442383
2023-05-19,14185.40415096283
2023-05-22,14365.506932258606
2023-05-23,14327.493884086609
2023-05-24,14330.337403297424
2023-05-25,14608.899125099182
2023-05-26,14739.044053077698
2023-05-30,14781.854096412659
2023-05-31,14792.934052467346
2023-06-01,14807.294098854065
2023-06-02,14833.094086647034
2023-06-05,14887.954076766968
2023-06-06,14900.924080848694
2023-06-07,14864.996998786926
2023-06-08,14998.67753791809
2023-06-09,15038.369562149048
2023-06-12,15102.712285995483
2023-06-13,15166.593534469604
2023-06-14,15213.381288528442
2023-06-15,15267.729005813599
2023-06-16,15281.649049758911
2023-06-20,15295.299104690552
2023-06-21,15288.819093704224
2023-06-22,15303.939096450806
2023-06-23,15299.619066238403
2023-06-26,15368.739068984985
2023-06-27,15436.372870445251
2023-06-28,15642.931447982788
2023-06-29,15677.984365463257
2023-06-30,15706.332052230835
2023-07-03,15762.89169883728
2023-07-05,15762.89169883728
2023-07-06,15753.429906845093
2023-07-07,15757.42883682251
2023-07-10,15807.479022979736
2023-07-11,15841.044902801514
2023-07-12,16011.431255340576
2023-07-13,16153.902935028076
2023-07-14,16154.77363204956
2023-07-17,16242.972957611084
2023-07-18,16278.01452255249
2023-07-19,16282.657344818115
2023-07-20,16274.736293792725
2023-07-21,16282.880062103271
2023-07-24,16295.895524024963
2023-07-25,16383.483286857605
2023-07-26,16502.833441734314
2023-07-27,16524.824447631836
2023-07-28,16661.260131835938
2023-07-31,16661.260131835938
2023-08-01,16661.260131835938
2023-08-02,16630.56219482422
2023-08-03,16621.862518310547
2023-08-04,16729.436401367188
2023-08-07,16742.981536865234
2023-08-08,16942.235626220703
2023-08-09,16951.34439086914
2023-08-10,16941.724029541016
2023-08-11,16955.37759399414
2023-08-14,17057.859008789062
2023-08-15,17079.338897705078
2023-08-16,17068.450256347656
2023-08-17,17031.724709510803
2023-08-18,17050.73538684845
2023-08-21,17266.658192634583
2023-08-22,17288.658192634583
2023-08-23,17395.104020118713
2023-08-24,17362.17814731598
2023-08-25,17394.130840301514
2023-08-28,17454.845190048218
2023-08-29,17680.39034843445
2023-08-30,17729.04079437256
2023-08-31,17731.770782470703
2023-09-01,17749.98819732666
2023-09-05,17871.037284851074
2023-09-06,17874.5072555542
2023-09-07,17923.869834899902
2023-09-08,17941.793815612793
2023-09-11,18090.81386566162
2023-09-12,18090.81386566162
2023-09-13,18090.81386566162
2023-09-14,18090.81386566162
2023-09-15,18090.81386566162
2023-09-18,18090.81386566162
2023-09-19,18090.81386566162
2023-09-20,18090.81386566162
2023-09-21,18090.81386566162
2023-09-22,18109.77870941162
